OTU.64	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Blenniiformes(1.00),f:Tripterygiidae(1.00),g:Forsterygion(1.00),s:Forsterygion_lapillum(0.58)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Blenniiformes,f:Tripterygiidae,g:Forsterygion
OTU.71	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Mugiliformes(0.61),f:Mugilidae(0.61),g:Aldrichetta(0.59),s:Aldrichetta_forsteri(0.59)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae
OTU.69	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Blenniiformes(1.00),f:Tripterygiidae(1.00),g:Forsterygion(1.00),s:Forsterygion_lapillum(0.83)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Blenniiformes,f:Tripterygiidae,g:Forsterygion,s:Forsterygion_lapillum
OTU.70	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Centrarchiformes(1.00),f:Cheilodactylidae(0.95),g:Nemadactylus(0.90),s:Nemadactylus_macropterus(0.62)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Centrarchiformes,f:Cheilodactylidae,g:Nemadactylus,s:Nemadactylus_macropterus
OTU.73	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Centrarchiformes(1.00),f:Cheilodactylidae(0.99),g:Cheilodactylus(0.79),s:Cheilodactylus_variegatus(0.79)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Centrarchiformes,f:Cheilodactylidae,g:Cheilodactylus,s:Cheilodactylus_variegatus
OTU.72	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Labriformes(1.00),f:Labridae(1.00),g:Notolabrus(1.00),s:Notolabrus_celidotus(0.86)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Labriformes,f:Labridae,g:Notolabrus,s:Notolabrus_celidotus
OTU.76	d:Eukaryota(1.00),p:Chordata(1.00),c:Chondrichthyes(1.00),o:Myliobatiformes(1.00),f:Dasyatidae(1.00),g:Bathytoshia(1.00),s:Bathytoshia_brevicaudata(1.00)	+	d:Eukaryota,p:Chordata,c:Chondrichthyes,o:Myliobatiformes,f:Dasyatidae,g:Bathytoshia,s:Bathytoshia_brevicaudata
OTU.77	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Labriformes(1.00),f:Labridae(1.00),g:Notolabrus(0.83),s:Notolabrus_celidotus(0.67)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Labriformes,f:Labridae,g:Notolabrus,s:Notolabrus_celidotus
OTU.75	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Blenniiformes(0.86),f:Tripterygiidae(0.86),g:Forsterygion(0.86),s:Forsterygion_lapillum(0.85)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Blenniiformes,f:Tripterygiidae,g:Forsterygion,s:Forsterygion_lapillum
OTU.80	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Beloniformes(1.00),f:Hemiramphidae(1.00),g:Hyporhamphus(1.00),s:Hyporhamphus_melanochir(0.99)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Beloniformes,f:Hemiramphidae,g:Hyporhamphus,s:Hyporhamphus_melanochir
OTU.74	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Centrarchiformes(1.00),f:Cheilodactylidae(1.00),g:Cheilodactylus(0.94),s:Cheilodactylus_variegatus(0.56)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Centrarchiformes,f:Cheilodactylidae,g:Cheilodactylus
OTU.79	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Perciformes(0.99),f:Plesiopidae(0.99),g:Acanthoclinus(0.99),s:Acanthoclinus_fuscus(0.99)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Perciformes,f:Plesiopidae,g:Acanthoclinus,s:Acanthoclinus_fuscus
OTU.78	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Perciformes(0.75),f:Plesiopidae(0.75),g:Acanthoclinus(0.75),s:Acanthoclinus_fuscus(0.75)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Perciformes,f:Plesiopidae,g:Acanthoclinus,s:Acanthoclinus_fuscus
OTU.82	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Scombriformes(1.00),f:Gempylidae(1.00),g:Thyrsites(1.00),s:Thyrsites_atun(1.00)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Scombriformes,f:Gempylidae,g:Thyrsites,s:Thyrsites_atun
OTU.81	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Blenniiformes(1.00),f:Tripterygiidae(1.00),g:Forsterygion(1.00),s:Forsterygion_lapillum(0.62)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Blenniiformes,f:Tripterygiidae,g:Forsterygion,s:Forsterygion_lapillum
